id,zip_code,country,state,city,created_at,updated_at
507,508116,India,Andhra Pradesh,Nalgonda,,
508,508255,India,Andhra Pradesh,Nalgonda,,
509,505505,India,Andhra Pradesh,Karimnagar,,
510,532216,India,Andhra Pradesh,Srikakulam,,
511,518675,India,Andhra Pradesh,Kurnool,,
512,502221,India,Andhra Pradesh,Medak,,
513,517260,India,Andhra Pradesh,Chittoor,,
514,507133,India,Andhra Pradesh,Khammam,,
515,534004,India,Andhra Pradesh,West Godavari,,
516,522274,India,Andhra Pradesh,Guntur,,
517,522277,India,Andhra Pradesh,Guntur,,
518,523188,India,Andhra Pradesh,Prakasam,,
519,515843,India,Andhra Pradesh,Anantapur,,
520,533449,India,Andhra Pradesh,East Godavari,,
521,522212,India,Andhra Pradesh,Guntur,,
522,505412,India,Andhra Pradesh,Karimnagar,,
523,502255,India,Andhra Pradesh,Medak,,
524,509333,India,Andhra Pradesh,Mahboobnagar,,
525,509332,India,Andhra Pradesh,Mahboobnagar,,
526,501516,India,Andhra Pradesh,Ranga Reddy,,
527,533261,India,Andhra Pradesh,East Godavari,,
528,505468,India,Andhra Pradesh,Karimnagar,,
529,506168,India,Andhra Pradesh,Warangal,,
530,517417,India,Andhra Pradesh,Chembakur,,
531,517417,India,Andhra Pradesh,Chittoor,,
532,530001,India,Andhra Pradesh,Vishakhapatnam,,
533,515101,India,Andhra Pradesh,Anantapur,,
534,516502,India,Andhra Pradesh,Cuddapah,,
535,506332,India,Andhra Pradesh,Warangal,,
536,506332,India,Andhra Pradesh,Warangal,,
537,516162,India,Andhra Pradesh,Cuddapah,,
538,524406,India,Andhra Pradesh,Nellore,,
539,503228,India,Andhra Pradesh,Nizamabad,,
540,508013,India,Andhra Pradesh,Nalgonda,,
541,517305,India,Andhra Pradesh,Chittoor,,
542,517305,India,Andhra Pradesh,Chittoor,,
543,522309,India,Andhra Pradesh,Guntur,,
544,508258,India,Andhra Pradesh,Nalgonda,,
